Order,id,token,abs_frecuency,rel_frecuency,length,number_syllables,token_possition,number_token_sentences,number_synonyms,number_hyponyms,number_hypernyms,Part_of_speech,freq_relative_word_before,freq_relative_word_after,len_word_before,len_word_after,mtld_diversity,propn,aux,verb,adp,noun,nn,sym,num,complexity
1,138062,a,18312,0.020756563,1,1,0.876712329,73,3,0,1,3,0,0,0,0,36.5,5,3,7,14,17,0,1,2,0.2
2,134659,es,14449,0.016377871,2,1,0.172413793,29,2,0,1,4,3.63E-05,1.93E-05,9,5,47.096,2,1,2,5,7,0,0,1,0.2
3,134972,si,3598,0.004078315,2,1,0.714285714,7,3,0,1,8,0.016249786,0.00037292,3,14,0,2,0,0,1,2,0,0,1,0.2
4,135541,si,3598,0.004078315,2,1,0.4375,32,3,0,1,8,0.062481652,3.63E-05,2,11,47.78666667,0,0,3,6,8,0,0,1,0.2
5,135804,si,3598,0.004078315,2,1,0.21875,32,3,0,1,8,0.013905718,0.002757794,2,7,95.57333333,0,0,2,7,11,0,0,2,0.4
6,135809,si,3598,0.004078315,2,1,0.4,15,3,0,1,8,0.016249786,0.020588805,3,2,31.5,2,0,0,3,3,0,0,1,0.4
7,136917,si,3598,0.004078315,2,1,0.923076923,13,3,0,1,8,0.016249786,0,3,0,0,0,1,1,2,3,0,0,1,0.2
8,138077,si,3598,0.004078315,2,1,0.25,16,3,0,1,8,0.025177194,4.08E-05,2,9,0,0,0,2,4,5,0,0,2,0.4
9,138483,si,3598,0.004078315,2,1,0.923076923,13,3,0,1,8,0.016249786,0,3,0,0,0,1,1,2,3,0,0,1,0.4
10,138628,si,3598,0.004078315,2,1,0.923076923,13,3,0,1,8,0.016249786,0,3,0,0,0,1,1,2,3,0,0,1,0.4
11,138712,si,3598,0.004078315,2,1,0.428571429,14,3,0,1,8,0.016249786,0.020588805,3,2,27.44,2,0,0,3,4,0,0,1,0.4
12,138778,si,3598,0.004078315,2,1,0.85,20,3,0,1,8,7.93E-06,0.007476534,2,1,56,4,0,1,3,3,0,0,0,0.2
