Order,id,token,abs_frecuency,rel_frecuency,length,number_syllables,token_possition,number_token_sentences,number_synonyms,number_hyponyms,number_hypernyms,Part_of_speech,freq_relative_word_before,freq_relative_word_after,len_word_before,len_word_after,mtld_diversity,propn,aux,verb,adp,noun,nn,sym,num,avgTokenBert,complexity
1,138062,a,18312,0.020756563,1,1,0.876712329,73,3,0,1,3,0,0,0,0,36.5,5,3,7,14,17,0,1,2,-0.033319779,0.2
2,134659,es,14449,0.016377871,2,1,0.172413793,29,2,0,1,4,3.62718E-05,1.92694E-05,9,5,47.096,2,1,2,5,7,0,0,1,-0.032876509,0.2
3,134972,si,3598,0.004078315,2,1,0.714285714,7,3,0,1,8,0.016249786,0.00037292,3,14,0,2,0,0,1,2,0,0,1,-0.031444607,0.2
4,135541,si,3598,0.004078315,2,1,0.4375,32,3,0,1,8,0.062481652,3.62718E-05,2,11,47.78666667,0,0,3,6,8,0,0,1,-0.03230634,0.2
5,135804,si,3598,0.004078315,2,1,0.21875,32,3,0,1,8,0.013905718,0.002757794,2,7,95.57333333,0,0,2,7,11,0,0,2,-0.035001137,0.4
6,135809,si,3598,0.004078315,2,1,0.4,15,3,0,1,8,0.016249786,0.020588805,3,2,31.5,2,0,0,3,3,0,0,1,-0.033196573,0.4
7,136917,si,3598,0.004078315,2,1,0.923076923,13,3,0,1,8,0.016249786,0,3,0,0,0,1,1,2,3,0,0,1,-0.03382494,0.2
8,138077,si,3598,0.004078315,2,1,0.25,16,3,0,1,8,0.025177194,4.08058E-05,2,9,0,0,0,2,4,5,0,0,2,-0.033788638,0.4
9,138483,si,3598,0.004078315,2,1,0.923076923,13,3,0,1,8,0.016249786,0,3,0,0,0,1,1,2,3,0,0,1,-0.033833591,0.4
10,138628,si,3598,0.004078315,2,1,0.923076923,13,3,0,1,8,0.016249786,0,3,0,0,0,1,1,2,3,0,0,1,-0.033818548,0.4
11,138712,si,3598,0.004078315,2,1,0.428571429,14,3,0,1,8,0.016249786,0.020588805,3,2,27.44,2,0,0,3,4,0,0,1,-0.033147223,0.4
12,138778,si,3598,0.004078315,2,1,0.85,20,3,0,1,8,7.93447E-06,0.007476534,2,1,56,4,0,1,3,3,0,0,0,-0.034177165,0.2
13,139840,si,3598,0.004078315,2,1,0.716666667,60,3,0,1,8,0.062481652,0.008280182,2,2,77.53846154,0,5,13,6,12,0,0,2,-0.033566452,0.6
14,140812,si,3598,0.004078315,2,1,0.268292683,41,3,0,1,8,0.013905718,0.016377871,2,2,52.29777778,1,2,6,8,11,0,0,1,-0.032808277,0.4
15,140882,si,3598,0.004078315,2,1,0.857142857,7,3,0,1,8,0.062481652,0,2,0,13.72,1,0,0,2,1,0,0,1,-0.034300884,0.2
16,146557,si,3598,0.004078315,2,1,0.147058824,34,3,0,1,8,0.013905718,0.013905718,2,2,53.94666667,1,2,5,5,11,0,0,1,-0.033759924,0.4
17,147339,si,3598,0.004078315,2,1,0.923076923,13,3,0,1,8,0.016249786,0,3,0,0,0,1,1,2,3,0,0,1,-0.033766749,0.4
18,147497,si,3598,0.004078315,2,1,0.583333333,24,3,0,1,8,5.66748E-06,0.000131485,8,8,161.28,0,0,3,4,5,0,0,0,-0.034760781,0.2
19,147910,si,3598,0.004078315,2,1,0.104166667,48,3,0,1,8,0.016249786,0.009542895,3,4,58.64727273,1,1,3,11,14,0,0,1,-0.033249485,0.4
20,147998,si,3598,0.004078315,2,1,0.375,16,3,0,1,8,0.016249786,0.020588805,3,2,23.89333333,2,0,0,4,4,0,0,1,-0.033464097,0.4
21,148508,si,3598,0.004078315,2,1,0.112676056,71,3,0,1,8,0.016249786,0.014280905,3,2,57.75373134,0,3,9,15,18,0,0,1,-0.03454125,0.6
22,148842,si,3598,0.004078315,2,1,0.2,15,3,0,1,8,0.002889279,6.80097E-06,3,12,63,1,1,0,2,2,0,0,1,-0.033811869,0.4
23,151126,si,3598,0.004078315,2,1,0.375,16,3,0,1,8,0.016249786,0.020588805,3,2,23.89333333,2,0,0,4,4,0,0,1,-0.033289265,0.6
24,151728,si,3598,0.004078315,2,1,0.666666667,24,3,0,1,8,0.007476534,0.000260704,1,7,53.76,4,0,0,4,8,0,0,1,-0.033809445,0.2
25,152175,si,3598,0.004078315,2,1,0.4,15,3,0,1,8,0.016249786,0.020588805,3,2,31.5,2,0,0,3,3,0,0,1,-0.03351173,0.4
26,152968,si,3598,0.004078315,2,1,0.523809524,21,3,0,1,8,0.016249786,3.85388E-05,3,10,25.935,0,0,3,4,4,0,0,0,-0.033696643,0.2
27,153227,si,3598,0.004078315,2,1,0.161290323,31,3,0,1,8,0.013905718,0.020588805,2,2,134.54,1,1,1,4,9,0,0,1,-0.032725115,0.4
28,153454,si,3598,0.004078315,2,1,0.923076923,13,3,0,1,8,0.016249786,0,3,0,0,0,1,1,2,3,0,0,1,-0.033846751,0.4
29,153948,si,3598,0.004078315,2,1,0.310344828,29,3,0,1,8,0.062481652,0.020588805,2,2,58.87,0,1,2,6,8,0,0,1,-0.032791478,0.2
30,155912,si,3598,0.004078315,2,1,0.923076923,13,3,0,1,8,0.016249786,0,3,0,0,0,1,1,2,3,0,0,1,-0.033832516,0.4
31,155957,si,3598,0.004078315,2,1,0.076923077,39,3,0,1,8,0.016249786,0.007751973,3,2,32.98148148,0,1,1,7,11,0,0,0,-0.033119102,0.6
32,156764,si,3598,0.004078315,2,1,0.933333333,15,3,0,1,8,0.016249786,0,3,0,0,0,0,3,1,3,0,0,1,-0.033972745,0.4
33,157057,si,3598,0.004078315,2,1,0,20,3,0,1,8,0,6.00752E-05,0,6,28.66666667,3,0,0,5,7,0,0,0,-0.034169542,0.2
34,157118,si,3598,0.004078315,2,1,0.206349206,63,3,0,1,8,0.016249786,0.009542895,3,4,64.18588235,0,5,7,10,12,0,0,2,-0.034454303,0.2
