Order,id,token,abs_frecuency,rel_frecuency,length,number_syllables,token_possition,number_token_sentences,number_synonyms,number_hyponyms,number_hypernyms,Part_of_speech,freq_relative_word_before,freq_relative_word_after,len_word_before,len_word_after,mtld_diversity,propn,aux,verb,adp,noun,nn,sym,num,avgBert,complexity
1,138062,a,18312,0.020756563,1,1,0.876712329,73,3,0,1,3,0,0,0,0,36.5,5,3,7,14,17,0,1,2,-0.033778446,0.2
2,134659,es,14449,0.016377871,2,1,0.172413793,29,2,0,1,4,3.62718E-05,1.92694E-05,9,5,47.096,2,1,2,5,7,0,0,1,-0.03390678,0.2
3,134972,si,3598,0.004078315,2,1,0.714285714,7,3,0,1,8,0.016249786,0.00037292,3,14,0,2,0,0,1,2,0,0,1,-0.032378431,0.2
4,135541,si,3598,0.004078315,2,1,0.4375,32,3,0,1,8,0.062481652,3.62718E-05,2,11,47.78666667,0,0,3,6,8,0,0,1,-0.032768306,0.2
5,135804,si,3598,0.004078315,2,1,0.21875,32,3,0,1,8,0.013905718,0.002757794,2,7,95.57333333,0,0,2,7,11,0,0,2,-0.034134513,0.4
6,135809,si,3598,0.004078315,2,1,0.4,15,3,0,1,8,0.016249786,0.020588805,3,2,31.5,2,0,0,3,3,0,0,1,-0.033680918,0.4
7,136917,si,3598,0.004078315,2,1,0.923076923,13,3,0,1,8,0.016249786,0,3,0,0,0,1,1,2,3,0,0,1,-0.033934936,0.2
8,138077,si,3598,0.004078315,2,1,0.25,16,3,0,1,8,0.025177194,4.08058E-05,2,9,0,0,0,2,4,5,0,0,2,-0.033753342,0.4
9,138483,si,3598,0.004078315,2,1,0.923076923,13,3,0,1,8,0.016249786,0,3,0,0,0,1,1,2,3,0,0,1,-0.033757288,0.4
10,138628,si,3598,0.004078315,2,1,0.923076923,13,3,0,1,8,0.016249786,0,3,0,0,0,1,1,2,3,0,0,1,-0.033755298,0.4
11,138712,si,3598,0.004078315,2,1,0.428571429,14,3,0,1,8,0.016249786,0.020588805,3,2,27.44,2,0,0,3,4,0,0,1,-0.033523413,0.4
12,138778,si,3598,0.004078315,2,1,0.85,20,3,0,1,8,7.93447E-06,0.007476534,2,1,56,4,0,1,3,3,0,0,0,-0.034092356,0.2
13,139840,si,3598,0.004078315,2,1,0.716666667,60,3,0,1,8,0.062481652,0.008280182,2,2,77.53846154,0,5,13,6,12,0,0,2,-0.033776158,0.6
14,140812,si,3598,0.004078315,2,1,0.268292683,41,3,0,1,8,0.013905718,0.016377871,2,2,52.29777778,1,2,6,8,11,0,0,1,-0.034134966,0.4
15,140882,si,3598,0.004078315,2,1,0.857142857,7,3,0,1,8,0.062481652,0,2,0,13.72,1,0,0,2,1,0,0,1,-0.034237849,0.2
16,146557,si,3598,0.004078315,2,1,0.147058824,34,3,0,1,8,0.013905718,0.013905718,2,2,53.94666667,1,2,5,5,11,0,0,1,-0.033855578,0.4
17,147339,si,3598,0.004078315,2,1,0.923076923,13,3,0,1,8,0.016249786,0,3,0,0,0,1,1,2,3,0,0,1,-0.033859568,0.4
18,147497,si,3598,0.004078315,2,1,0.583333333,24,3,0,1,8,5.66748E-06,0.000131485,8,8,161.28,0,0,3,4,5,0,0,0,-0.034878224,0.2
19,147910,si,3598,0.004078315,2,1,0.104166667,48,3,0,1,8,0.016249786,0.009542895,3,4,58.64727273,1,1,3,11,14,0,0,1,-0.033602673,0.4
20,147998,si,3598,0.004078315,2,1,0.375,16,3,0,1,8,0.016249786,0.020588805,3,2,23.89333333,2,0,0,4,4,0,0,1,-0.033918142,0.4
21,148508,si,3598,0.004078315,2,1,0.112676056,71,3,0,1,8,0.016249786,0.014280905,3,2,57.75373134,0,3,9,15,18,0,0,1,-0.033119407,0.6
22,148842,si,3598,0.004078315,2,1,0.2,15,3,0,1,8,0.002889279,6.80097E-06,3,12,63,1,1,0,2,2,0,0,1,-0.034059493,0.4
23,151126,si,3598,0.004078315,2,1,0.375,16,3,0,1,8,0.016249786,0.020588805,3,2,23.89333333,2,0,0,4,4,0,0,1,-0.034165223,0.6
24,151728,si,3598,0.004078315,2,1,0.666666667,24,3,0,1,8,0.007476534,0.000260704,1,7,53.76,4,0,0,4,8,0,0,1,-0.033886353,0.2
25,152175,si,3598,0.004078315,2,1,0.4,15,3,0,1,8,0.016249786,0.020588805,3,2,31.5,2,0,0,3,3,0,0,1,-0.034101429,0.4
26,152968,si,3598,0.004078315,2,1,0.523809524,21,3,0,1,8,0.016249786,3.85388E-05,3,10,25.935,0,0,3,4,4,0,0,0,-0.033646507,0.2
27,153227,si,3598,0.004078315,2,1,0.161290323,31,3,0,1,8,0.013905718,0.020588805,2,2,134.54,1,1,1,4,9,0,0,1,-0.033694503,0.4
28,153454,si,3598,0.004078315,2,1,0.923076923,13,3,0,1,8,0.016249786,0,3,0,0,0,1,1,2,3,0,0,1,-0.03392746,0.4
29,153948,si,3598,0.004078315,2,1,0.310344828,29,3,0,1,8,0.062481652,0.020588805,2,2,58.87,0,1,2,6,8,0,0,1,-0.033695348,0.2
