Fuente;N_charac;N_w;N_dcw;N_cw;N_lfw;N_rw;N_s;N_cs;LDI;ILFW;LC;SSR;ASL;CS;SCI;ARI;PM;MTLD;BLOQUE;CCONJ;SCONJ;PROPN;PRON;NOUN;VERB;ADP;AUX;DET;ADV;ADJ
ATM - Tramites - TEXTO 0001 LEY DE TRANSITO.txt;291;54;37;27;6;30;1;0;37;22,22222222;29,61111111;293,2193333;54;0;27;30,95166667;4;14,68223621;ATM;3;0;10;1;10;2;12;0;10;1;5
ATM - Tramites - TEXTO 0001 MOVILIDAD SEGURA.txt;292;51;42;31;6;28;1;1;42;19,35483871;30,67741935;286,2237059;51;1;26;31,03705882;4;13,97798709;ATM;2;0;1;1;15;5;8;2;9;0;8
ATM - Tramites - TEXTO 0002 LEY DE TRANSITO.txt;231;34;29;21;7;22;1;0;29;33,33333333;31,16666667;291,4001176;34;0;17;27,57029412;3;16,41011209;ATM;2;0;12;0;5;0;6;1;5;0;3
ATM - Tramites - TEXTO 0002 MOVILIDAD SEGURA.txt;154;26;24;17;4;16;2;1;12;23,52941176;17,76470588;247,1016154;13;0,5;6,75;12,96769231;3;15,73428433;ATM;1;1;1;1;4;2;1;3;3;2;7
ATM - Tramites - TEXTO 0003 LEY DE TRANSITO.txt;234;43;34;24;7;18;1;1;34;29,16666667;31,58333333;230,0800233;43;1;22;25,70116279;4;13,325;ATM;5;0;2;1;12;3;7;2;6;0;5
ATM - Tramites - TEXTO 0003 MOVILIDAD SEGURA.txt;205;38;33;18;4;21;1;0;33;22,22222222;27,61111111;266,5051579;38;0;19;22,97921053;4;13,53913939;ATM;2;0;1;4;8;3;6;1;7;0;6
ATM - Tramites - TEXTO 0004 LEY DE TRANSITO.txt;216;37;31;19;7;17;1;0;31;36,84210526;33,92105263;233,9816486;37;0;18,5;24,56621622;4;13,46172009;ATM;2;0;3;1;11;2;11;0;3;0;4
ATM - Tramites - TEXTO 0004 MOVILIDAD SEGURA.txt;309;61;46;28;6;31;2;2;23;21,42857143;22,21428571;239,6941721;30,5;1;15,75;17,67885246;6;13,94737523;ATM;1;2;1;7;13;5;14;4;9;0;5
ATM - Tramites - TEXTO 0005 LEY DE TRANSITO.txt;133;24;21;13;4;11;1;0;21;30,76923077;25,88461538;212,691;24;0;12;16,67125;2;14,95804196;ATM;1;1;2;0;6;1;4;0;5;0;4
ATM - Tramites - TEXTO 0005 MOVILIDAD SEGURA.txt;229;36;32;23;11;23;1;0;32;47,82608696;39,91304348;291,9073333;36;0;18;26,53083333;5;15,85122063;ATM;3;1;6;3;9;4;3;0;3;0;4
ATM - Tramites - TEXTO 0006 LEY DE TRANSITO.txt;230;44;32;23;5;21;2;1;16;21,73913043;18,86956522;215,7570909;22;0,5;11,25;14,19045455;4;13,94348446;ATM;0;1;4;1;15;2;14;1;5;0;1
ATM - Tramites - TEXTO 0006 MOVILIDAD SEGURA.txt;306;59;49;31;6;29;2;1;24,5;19,35483871;21,92741935;232,5536356;29,5;0,5;15;17,74813559;6;13,39110011;ATM;4;0;3;5;14;6;7;2;10;2;6
ATM - Tramites - TEXTO 0007 LEY DE TRANSITO.txt;168;32;28;17;3;16;1;1;28;17,64705882;22,82352941;239,388;32;1;16,5;19,2975;2;13,71305028;ATM;1;0;3;1;9;2;7;1;6;0;2
ATM - Tramites - TEXTO 0007 MOVILIDAD SEGURA.txt;257;48;36;25;4;22;1;1;36;16;26;251,307;48;1;24,5;27,788125;4;13,13147876;ATM;2;0;1;0;15;1;9;3;8;3;6
ATM - Tramites - TEXTO 0008 LEY DE TRANSITO.txt;202;38;31;16;5;19;1;1;31;31,25;31,125;249,042;38;1;19,5;22,60736842;4;13,49673203;ATM;1;0;2;4;8;2;8;1;6;3;3
