orden	palabra
1	a
2	abajo
3	abandonar
4	aborrercer
5	abrazar
6	abrir
7	absoluto
8	abuelo
9	acá
10	acabar
11	acaso
12	acción
13	aceite
14	acento
15	aceptar
16	acerca
17	acercar
18	acertar
19	acompañar
20	aconsejar
21	acordar
22	acostumbrar
23	actitud
24	acto
25	actual
26	acudir
27	acuerdo
28	adelantar
29	adelante
30	además
31	adiós
32	admirable
33	admiración
34	admirar
35	admitir
36	adonde
37	adorar
38	adquirir
39	advertir
40	afán
41	afecto
42	afirmar
43	agitar
44	agradable
45	agradar
46	agua
47	aguardar
48	ahí
49	ahogar
50	ahora
51	aire
52	ajeno
53	al
54	ala
55	alcalde
56	alcanzar
57	alegrar
58	alegre
59	alegría
60	alejar
61	algo
62	alguien
63	algún
64	alguno
65	aliento
66	alma
67	alrededor
68	alrededores
69	alterar
70	alto
71	altura
72	alumbrar
73	alzar
74	allá
75	allí
76	amable
77	amante
78	amar
79	amargo
80	amargura
81	ambos
82	amenazar
83	americano
84	amigo
85	amistad
86	amo
87	amor
88	amoroso
89	anciano
90	andar
91	ancho
92	ángel
93	angustia
94	animal
95	animar
96	ánimo
97	anterior
98	antes
99	antiguo
100	anunciar
101	añadir
102	año
103	apagar
104	aparecer
105	apartar
106	aparte
107	apenas
108	aplicar
109	apoyar
110	aprender
111	apretar
112	aprovechar
113	aquel
114	aquél
115	aquí
116	árbol
117	arder
118	ardiente
119	arma
120	armar
121	arrancar
122	arrastrar
123	arreglar
124	arriba
125	arrojar
126	arte
127	artículo
128	artista
129	asegurar
130	así
131	asiento
132	asistir
133	asomar
134	asombrar
135	aspecto
136	aspirar
137	asunto
138	atar
139	atención
140	atender
141	atento
142	atrás
143	atravesar
144	atreverse
145	atrevido
146	aumentar
147	aun
148	aún
149	aunque
150	ausencia
151	autor
152	autoridad
153	auxilio
154	avanzar
155	ave
156	aventura
157	avisar
158	ay
159	ayer
160	ayudar
161	azúcar
162	azul
163	bailar
164	bajar
165	bajo
166	balcón
167	bañar
168	barba
169	base
170	basta
171	bastante
172	bastar
173	batalla
174	batir
175	beber
176	belleza
177	bello
178	bendecir
179	bendito
180	besar
181	beso
182	bestia
183	bien
184	blanco
185	blando
186	boca
187	boda
188	bondad
189	bonito
190	bosque
191	bravo
192	brazo
193	breve
194	brillante
195	brillar
196	buen
197	bueno
198	burla
199	burlar
200	buscar
201	caballero
202	caballo
203	cabello
204	caber
205	cabeza
206	cabo
207	cada
208	cadena
209	caer
210	café
211	caída
212	caja
213	calidad
214	calma
215	calor
216	callado
217	callar
218	calle
219	cama
220	cambiar
221	cambio
222	caminar
223	camino
224	campana
225	campaña
226	campo
227	cansar
228	cantar
229	cantidad
230	canto
231	capa
232	capaz
233	capital
234	capitán
235	capítulo
236	cara
237	carácter
238	cárcel
239	cargar
240	cargo
241	caridad
242	cariño
243	carne
244	carrera
245	carro
246	carta
247	casa
248	casar
249	casi
250	caso
251	castellano
252	castigar
253	castigo
254	causa
255	causar
256	ceder
257	celebrar
258	célebre
259	centro
260	ceñir
261	cerca
262	cercano
263	cerebro
264	cerrar
265	cesar
266	ciego
267	cielo
268	ciencia
269	ciertamente
270	cierto
271	circunstacia
272	citar
273	ciudad
274	civil
275	claridad
276	claro
277	clase
278	clavar
279	cobrar
280	coser
281	coche
282	coger
283	cólera
284	colgar
285	colocar
286	color
287	columna
288	combatir
289	comedia
290	comenzar
291	comer
292	cometer
293	comida
294	como
295	cómo
296	compañero
297	compañía
