snt_id	term	difficulty	term_rank_snt	run_id	manual
T12.3_2044597308_4	True Positive Fraction (TPF)	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_2044597308_4	False Positive (FP)	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_2044597308_4	Case	0	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_2	Computer-Aided Detection (CAD)	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_2	Low-Contrast Lesions	2	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_2	Chest Wall	1	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_2	Blood Vessels	1	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_2	Lung	0	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_5	Active Contour Filter (ACF)	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_5	Contrast Enhancement Filter	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_5	Deformable Kernel Shape	2	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_5	Detection	0	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_1968731708_5	CT Images	0	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_2044597308_5	TPF	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_2044597308_5	CT	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_2044597308_5	0.76	0	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_2044597308_5	0.44	0	4	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_2044597308_5	respectively	0	5	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_2044597308_6	TPF	2	1	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_2044597308_6	case	1	2	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
T12.3_2044597308_6	integrate	1	3	SINAI_task_2.1_PRM_ZS_TASK2_1_V2	0
