Palabra;TipoPalabra;TextoOrigen;Posicion;Largo;SaltoLinea;Aparicion
observar;Dificil;Video-02-Unidad de Investigacion.txt;118;8;1;1
sección;Dificil;Video-02-Unidad de Investigacion.txt;185;7;1;1
repositorio;Dificil;Video-02-Unidad de Investigacion.txt;1232;11;2;1
genoma;Dificil;Video-02-Unidad de Investigacion.txt;1783;6;3;2
cronológicamente;Dificil;Video-02-Unidad de Investigacion.txt;4037;16;7;2
subscriba;Dificil;Video-02-Unidad de Investigacion.txt;5386;9;9;1
autónomo;Dificil;Video-02-Unidad de Investigacion.txt;6281;8;10;1
syllabus;Dificil;Video-02-Unidad de Investigacion.txt;6980;8;11;2
chemistry;Dificil;Video-02-Unidad de Investigacion.txt;7498;9;12;1
r;Dificil;Video-02-Unidad de Investigacion.txt;8545;1;14;1
acotar;Dificil;Video-02-Unidad de Investigacion.txt;8545;6;14;1
reincidir;Dificil;Video-02-Unidad de Investigacion.txt;8680;9;14;1
repositorios;Dificil;Video-02-Unidad de Investigacion.txt;1541;12;3;1
vestiduras;Dificil;Video-02-Unidad de Investigacion.txt;1921;10;3;1
algoritmo;Dificil;Video-02-Unidad de Investigacion.txt;4931;9;8;1
culminaciones;Dificil;Video-02-Unidad de Investigacion.txt;5140;13;9;1
gigas;Dificil;Video-02-Unidad de Investigacion.txt;5446;5;9;1
nuble;Dificil;Video-02-Unidad de Investigacion.txt;7957;5;12;1

