Palabra;TipoPalabra;TextoOrigen;Posicion;Largo;SaltoLinea;Aparicion
aseveración;Dificil;Video-20-Licenciatura en Educacion Basica.txt;790;11;3;4
etimológico;Dificil;Video-20-Licenciatura en Educacion Basica.txt;955;11;3;4
referencial;Dificil;Video-20-Licenciatura en Educacion Basica.txt;6618;11;16;1
predomina;Dificil;Video-20-Licenciatura en Educacion Basica.txt;7025;9;16;1
unidireccional;Dificil;Video-20-Licenciatura en Educacion Basica.txt;576;14;2;2
inferencias;Dificil;Video-20-Licenciatura en Educacion Basica.txt;3844;11;11;1
inferencial;Dificil;Video-20-Licenciatura en Educacion Basica.txt;3425;11;10;2
filosofía;Dificil;Video-20-Licenciatura en Educacion Basica.txt;9;9;0;1
apelativa;Dificil;Video-20-Licenciatura en Educacion Basica.txt;5325;9;14;1
inferir;Dificil;Video-20-Licenciatura en Educacion Basica.txt;3564;7;10;1
persuasiva;Dificil;Video-20-Licenciatura en Educacion Basica.txt;5228;10;14;3
ficción;Dificil;Video-20-Licenciatura en Educacion Basica.txt;706;7;3;1
conocimiento lingüístico;Dificil;Video-20-Licenciatura en Educacion Basica.txt;2560;24;9;1
la lectura crítica aplica a la no ficción;Dificil;Video-20-Licenciatura en Educacion Basica.txt;672;42;3;1
acto unidireccional;Dificil;Video-20-Licenciatura en Educacion Basica.txt;571;19;2;1
legere;Dificil;Video-20-Licenciatura en Educacion Basica.txt;1105;15;4;1
krienin;Dificil;Video-20-Licenciatura en Educacion Basica.txt;1259;7;5;2
explícitamente;Dificil;Video-20-Licenciatura en Educacion Basica.txt;1797;14;8;1
nivel inferencial;Dificil;Video-20-Licenciatura en Educacion Basica.txt;2119;17;9;1
comprensión global;Dificil;Video-20-Licenciatura en Educacion Basica.txt;4524;18;12;1
referenciales;Dificil;Video-20-Licenciatura en Educacion Basica.txt;6995;13;16;1

