Palabra;TipoPalabra;TextoOrigen;Posicion;Largo;SaltoLinea;Aparicion
patentar;Dificil;Video-04-Ingenieria en sistemas.txt;160;8;1;22
cartoprint;Dificil;Video-04-Ingenieria en sistemas.txt;959;10;2;56
patente;Dificil;Video-04-Ingenieria en sistemas.txt;640;7;2;10
estándar;Dificil;Video-04-Ingenieria en sistemas.txt;1866;8;4;5
paper;Dificil;Video-04-Ingenieria en sistemas.txt;2986;5;5;16
verborragia;Dificil;Video-04-Ingenieria en sistemas.txt;4954;11;8;41
énfasis;Dificil;Video-04-Ingenieria en sistemas.txt;6734;7;10;5
microscopia;Dificil;Video-04-Ingenieria en sistemas.txt;4208;11;7;41
sintetizo;Dificil;Video-04-Ingenieria en sistemas.txt;1537;9;3;17
sintetización;Dificil;Video-04-Ingenieria en sistemas.txt;1713;13;3;10
presa;Dificil;Video-04-Ingenieria en sistemas.txt;5143;5;8;5
clarifique;Dificil;Video-04-Ingenieria en sistemas.txt;5745;10;10;2
reincidir;Dificil;Video-04-Ingenieria en sistemas.txt;6919;9;11;10
es un paper;Dificil;Video-04-Ingenieria en sistemas.txt;2980;11;5;1
modernizar;Dificil;Video-04-Ingenieria en sistemas.txt;4622;10;7;2
alianzas;Dificil;Video-04-Ingenieria en sistemas.txt;8316;8;11;1
sintetizado;Dificil;Video-04-Ingenieria en sistemas.txt;978;11;2;6
lapso;Dificil;Video-04-Ingenieria en sistemas.txt;5270;5;9;3
estandarizar;Dificil;Video-04-Ingenieria en sistemas.txt;2625;12;4;3
apetecible;Dificil;Video-04-Ingenieria en sistemas.txt;900;10;2;3
patentes;Dificil;Video-04-Ingenieria en sistemas.txt;1353;8;3;5
molécula;Dificil;Video-04-Ingenieria en sistemas.txt;4251;8;7;5
nosotros;Dificil;Video-04-Ingenieria en sistemas.txt;374;8;1;1
bibliográfica;Dificil;Video-04-Ingenieria en sistemas.txt;6285;13;10;2
estandarizado;Dificil;Video-04-Ingenieria en sistemas.txt;2200;13;4;11
publicamos;Dificil;Video-04-Ingenieria en sistemas.txt;437;10;1;1
ya;Dificil;Video-04-Ingenieria en sistemas.txt;8239;2;11;1
para yo para yo;Dificil;Video-04-Ingenieria en sistemas.txt;3331;15;6;1
figuraesquemas;Dificil;Video-04-Ingenieria en sistemas.txt;5725;15;10;3
desagradable;Dificil;Video-04-Ingenieria en sistemas.txt;2891;12;5;1
síntesis;Dificil;Video-04-Ingenieria en sistemas.txt;1799;8;3;5
cita;Dificil;Video-04-Ingenieria en sistemas.txt;3142;4;5;1
video;Dificil;Video-04-Ingenieria en sistemas.txt;0;5;0;1
domine;Dificil;Video-04-Ingenieria en sistemas.txt;9192;6;12;1
condicional;Dificil;Video-04-Ingenieria en sistemas.txt;7820;11;11;2
cometa;Dificil;Video-04-Ingenieria en sistemas.txt;1413;6;3;2
cifra digital;Dificil;Video-04-Ingenieria en sistemas.txt;3359;13;6;1
software;Dificil;Video-04-Ingenieria en sistemas.txt;7163;8;11;2
entonces;Dificil;Video-04-Ingenieria en sistemas.txt;7243;8;11;1
esquema;Dificil;Video-04-Ingenieria en sistemas.txt;5852;7;10;2
delimitado;Dificil;Video-04-Ingenieria en sistemas.txt;5387;10;9;2
continuación;Dificil;Video-04-Ingenieria en sistemas.txt;5078;12;8;1
poner como menor;Dificil;Video-04-Ingenieria en sistemas.txt;3394;16;6;1
cualquier cuatro;Dificil;Video-04-Ingenieria en sistemas.txt;8642;16;12;1
creo alianzas;Dificil;Video-04-Ingenieria en sistemas.txt;8316;13;11;1
no estadísticos;Dificil;Video-04-Ingenieria en sistemas.txt;6138;15;10;1
particularidad;Dificil;Video-04-Ingenieria en sistemas.txt;2256;14;4;3
software estadísticos;Dificil;Video-04-Ingenieria en sistemas.txt;8080;21;11;1
cartoprin;Dificil;Video-04-Ingenieria en sistemas.txt;1055;9;2;1
se;Dificil;Video-04-Ingenieria en sistemas.txt;6857;2;10;1
análisis;Dificil;Video-04-Ingenieria en sistemas.txt;6046;8;10;1
estadísticos;Dificil;Video-04-Ingenieria en sistemas.txt;6055;12;10;1
estadístico;Dificil;Video-04-Ingenieria en sistemas.txt;6953;11;11;1

