Palabra;TipoPalabra;TextoOrigen;Posicion;Largo;SaltoLinea;Aparicion
fitología;Dificil;Video-11-Ciencias Agrarias.txt;39;9;1;1
phyton;Dificil;Video-11-Ciencias Agrarias.txt;213;8;3;1
histología;Dificil;Video-11-Ciencias Agrarias.txt;1436;10;16;1
algologí;Dificil;Video-11-Ciencias Agrarias.txt;1924;8;20;1
liquenología;Dificil;Video-11-Ciencias Agrarias.txt;2003;12;22;1
briología;Dificil;Video-11-Ciencias Agrarias.txt;2042;9;23;1
pteridologí;Dificil;Video-11-Ciencias Agrarias.txt;2104;11;24;1
pteridología;Dificil;Video-11-Ciencias Agrarias.txt;2104;12;24;1
criptogamia;Dificil;Video-11-Ciencias Agrarias.txt;2228;11;25;2
fanerogamia;Dificil;Video-11-Ciencias Agrarias.txt;2313;11;25;2
fitocorología;Dificil;Video-11-Ciencias Agrarias.txt;2518;13;27;1
fitocenología;Dificil;Video-11-Ciencias Agrarias.txt;2602;13;27;1
palinología;Dificil;Video-11-Ciencias Agrarias.txt;3767;11;39;1
etología;Dificil;Video-11-Ciencias Agrarias.txt;3973;8;42;1
filogenia;Dificil;Video-11-Ciencias Agrarias.txt;4207;9;46;1
taxa;Dificil;Video-11-Ciencias Agrarias.txt;4475;4;50;1
paleobotánica;Dificil;Video-11-Ciencias Agrarias.txt;4705;13;51;1
farmacéutica;Dificil;Video-11-Ciencias Agrarias.txt;5037;12;53;1
médica;Dificil;Video-11-Ciencias Agrarias.txt;5061;6;53;1
digitoxina;Dificil;Video-11-Ciencias Agrarias.txt;6176;10;59;2
papaína;Dificil;Video-11-Ciencias Agrarias.txt;6196;7;59;3
codeína;Dificil;Video-11-Ciencias Agrarias.txt;6214;7;59;2
atropina;Dificil;Video-11-Ciencias Agrarias.txt;6223;8;59;2
eregotina;Dificil;Video-11-Ciencias Agrarias.txt;6247;9;59;3
sumidades;Dificil;Video-11-Ciencias Agrarias.txt;6947;9;61;1
oleorresinas;Dificil;Video-11-Ciencias Agrarias.txt;7130;12;61;2
quitina;Dificil;Video-11-Ciencias Agrarias.txt;768;7;10;1
mucílagos;Dificil;Video-11-Ciencias Agrarias.txt;5814;9;57;2
tinctoreas;Dificil;Video-11-Ciencias Agrarias.txt;5875;10;57;1
cauchíferas;Dificil;Video-11-Ciencias Agrarias.txt;5774;11;57;1
caléndula;Dificil;Video-11-Ciencias Agrarias.txt;6520;9;59;2
carrageninas;Dificil;Video-11-Ciencias Agrarias.txt;6559;12;59;2
líquenes;Dificil;Video-11-Ciencias Agrarias.txt;2032;8;22;1
taníferas;Dificil;Video-11-Ciencias Agrarias.txt;5887;9;57;1
rutina;Dificil;Video-11-Ciencias Agrarias.txt;6188;6;59;1

