bioética;Dificil;Video-05-Ingenieria en sistemas.txt;3571;8;8;44
maceración;Dificil;Video-05-Ingenieria en sistemas.txt;2366;10;4;40
diferida;Dificil;Video-05-Ingenieria en sistemas.txt;85;8;1;9
deferir;Dificil;Video-05-Ingenieria en sistemas.txt;178;7;1;13
ultrasónico;Dificil;Video-05-Ingenieria en sistemas.txt;994;11;2;29
taxonómico;Dificil;Video-05-Ingenieria en sistemas.txt;4707;10;10;31
tratamiento ultrasónico;Dificil;Video-05-Ingenieria en sistemas.txt;978;23;2;4
lay;Dificil;Video-05-Ingenieria en sistemas.txt;245;3;1;12
celdas;Dificil;Video-05-Ingenieria en sistemas.txt;1393;6;3;11
celda;Dificil;Video-05-Ingenieria en sistemas.txt;1886;5;3;9
especie fue distraída;Dificil;Video-05-Ingenieria en sistemas.txt;1774;65;3;1
video;Dificil;Video-05-Ingenieria en sistemas.txt;0;5;0;1
extracción;Dificil;Video-05-Ingenieria en sistemas.txt;1854;10;3;6
normarlos;Dificil;Video-05-Ingenieria en sistemas.txt;3231;9;8;3
intoxícate;Dificil;Video-05-Ingenieria en sistemas.txt;3945;10;9;9
cuantitativamente;Dificil;Video-05-Ingenieria en sistemas.txt;4608;17;10;8
cualitativamente;Dificil;Video-05-Ingenieria en sistemas.txt;4628;16;10;9
ah;Dificil;Video-05-Ingenieria en sistemas.txt;463;2;1;1
y d hay;Dificil;Video-05-Ingenieria en sistemas.txt;1569;7;3;1
la especie fue distraída;Dificil;Video-05-Ingenieria en sistemas.txt;1773;24;3;1
ultra;Dificil;Video-05-Ingenieria en sistemas.txt;1908;5;3;2
sónico;Dificil;Video-05-Ingenieria en sistemas.txt;1914;6;3;3
retenido;Dificil;Video-05-Ingenieria en sistemas.txt;2698;8;5;2
ultra sónico;Dificil;Video-05-Ingenieria en sistemas.txt;1908;12;3;4
artículos;Dificil;Video-05-Ingenieria en sistemas.txt;419;9;1;1
células;Dificil;Video-05-Ingenieria en sistemas.txt;674;7;2;2
método;Dificil;Video-05-Ingenieria en sistemas.txt;813;6;2;1
muestras;Dificil;Video-05-Ingenieria en sistemas.txt;1109;8;2;1
otorgaron;Dificil;Video-05-Ingenieria en sistemas.txt;1148;9;2;1
especie;Dificil;Video-05-Ingenieria en sistemas.txt;1777;7;3;1
distraída;Dificil;Video-05-Ingenieria en sistemas.txt;1789;9;3;1
anónimo;Dificil;Video-05-Ingenieria en sistemas.txt;1806;7;3;2
tratamiento;Dificil;Video-05-Ingenieria en sistemas.txt;2109;11;4;1
química;Dificil;Video-05-Ingenieria en sistemas.txt;2455;7;5;1
sida;Dificil;Video-05-Ingenieria en sistemas.txt;2486;4;5;1
publicación;Dificil;Video-05-Ingenieria en sistemas.txt;2832;11;5;1
redacción;Dificil;Video-05-Ingenieria en sistemas.txt;3062;9;6;2
recolecto;Dificil;Video-05-Ingenieria en sistemas.txt;3304;9;8;3
consentimiento;Dificil;Video-05-Ingenieria en sistemas.txt;3473;14;8;3
tomaron;Dificil;Video-05-Ingenieria en sistemas.txt;3351;7;8;1
enfermedad;Dificil;Video-05-Ingenieria en sistemas.txt;3824;10;9;1
certificado;Dificil;Video-05-Ingenieria en sistemas.txt;3599;11;9;1
preparación;Dificil;Video-05-Ingenieria en sistemas.txt;4380;11;10;1
deselecciona;Dificil;Video-05-Ingenieria en sistemas.txt;4841;12;10;2
transforma;Dificil;Video-05-Ingenieria en sistemas.txt;4127;10;9;1
utilizados;Dificil;Video-05-Ingenieria en sistemas.txt;4771;10;10;1
conocimiento;Dificil;Video-05-Ingenieria en sistemas.txt;2893;12;6;1
colega;Dificil;Video-05-Ingenieria en sistemas.txt;12;6;1;2
fundamento;Dificil;Video-05-Ingenieria en sistemas.txt;4458;10;10;1
biológicos;Dificil;Video-05-Ingenieria en sistemas.txt;4507;10;10;3
humanos;Dificil;Video-05-Ingenieria en sistemas.txt;4804;7;10;1
producto;Dificil;Video-05-Ingenieria en sistemas.txt;3962;8;9;1
comité;Dificil;Video-05-Ingenieria en sistemas.txt;4317;6;10;2
tratamiento ultra sónico;Dificil;Video-05-Ingenieria en sistemas.txt;1892;24;3;2
norma;Dificil;Video-05-Ingenieria en sistemas.txt;47;5;1;1
precisa;Dificil;Video-05-Ingenieria en sistemas.txt;2866;7;5;1
reactivar;Dificil;Video-05-Ingenieria en sistemas.txt;4304;9;10;2
atributos;Dificil;Video-05-Ingenieria en sistemas.txt;4578;9;10;2
cita;Dificil;Video-05-Ingenieria en sistemas.txt;2172;4;4;1
márquetin;Dificil;Video-05-Ingenieria en sistemas.txt;4189;9;9;2
vista taxonómico;Dificil;Video-05-Ingenieria en sistemas.txt;4698;16;10;1
capacidad intoxícate;Dificil;Video-05-Ingenieria en sistemas.txt;3932;20;9;1
bibliográfica;Dificil;Video-05-Ingenieria en sistemas.txt;1569;13;3;1
composición;Dificil;Video-05-Ingenieria en sistemas.txt;4086;11;9;1
organismos;Dificil;Video-05-Ingenieria en sistemas.txt;4496;10;10;1
s;Dificil;Video-05-Ingenieria en sistemas.txt;620;1;2;1

