costes;Dificil;Video-18-Contaduria Publica Autorizada.txt;825;6;7;2
priori;Dificil;Video-18-Contaduria Publica Autorizada.txt;1669;6;12;2
racionalmente;Dificil;Video-18-Contaduria Publica Autorizada.txt;2138;13;15;2
coste;Dificil;Video-18-Contaduria Publica Autorizada.txt;3895;5;24;1
umbrales;Dificil;Video-18-Contaduria Publica Autorizada.txt;4286;8;25;3
priori destinado;Dificil;Video-18-Contaduria Publica Autorizada.txt;1667;16;12;1
edt;Dificil;Video-18-Contaduria Publica Autorizada.txt;3860;3;24;2
subsidiario;Dificil;Video-18-Contaduria Publica Autorizada.txt;5237;11;35;2
monitorear;Dificil;Video-18-Contaduria Publica Autorizada.txt;636;10;4;1
contingencias;Dificil;Video-18-Contaduria Publica Autorizada.txt;3771;13;22;1

