Palabra;TipoPalabra;TextoOrigen;Posicion;Largo;SaltoLinea;Aparicion
repositorios;Dificil;Video-02-Ingenieria en sistemas.txt;1541;12;3;11
vestiduras;Dificil;Video-02-Ingenieria en sistemas.txt;1921;10;3;9
vallamos;Dificil;Video-02-Ingenieria en sistemas.txt;2115;8;3;4
nuble;Dificil;Video-02-Ingenieria en sistemas.txt;7957;5;12;4
utilizo;Dificil;Video-02-Ingenieria en sistemas.txt;10213;7;16;1
genoma;Dificil;Video-02-Ingenieria en sistemas.txt;1783;6;3;23
bases de datos;Dificil;Video-02-Ingenieria en sistemas.txt;3948;14;6;2
chemis;Dificil;Video-02-Ingenieria en sistemas.txt;7498;6;12;1
chemistry;Dificil;Video-02-Ingenieria en sistemas.txt;7498;9;12;9
repositorio;Dificil;Video-02-Ingenieria en sistemas.txt;1232;11;2;11
campus;Dificil;Video-02-Ingenieria en sistemas.txt;3159;6;6;2
syllabus;Dificil;Video-02-Ingenieria en sistemas.txt;6980;8;11;2
virtual;Dificil;Video-02-Ingenieria en sistemas.txt;57;7;1;5
tesis;Dificil;Video-02-Ingenieria en sistemas.txt;1247;5;2;2
vestidura;Dificil;Video-02-Ingenieria en sistemas.txt;1921;9;3;3
reincidir;Dificil;Video-02-Ingenieria en sistemas.txt;8680;9;14;5
ca;Dificil;Video-02-Ingenieria en sistemas.txt;3159;2;6;1
evidentemente;Dificil;Video-02-Ingenieria en sistemas.txt;7987;13;13;1
valga la confusión;Dificil;Video-02-Ingenieria en sistemas.txt;8002;18;13;1
operadores lógicos;Dificil;Video-02-Ingenieria en sistemas.txt;8982;18;14;1
noción;Dificil;Video-02-Ingenieria en sistemas.txt;9103;6;14;1
inclusive;Dificil;Video-02-Ingenieria en sistemas.txt;9155;9;14;1
concurrente;Dificil;Video-02-Ingenieria en sistemas.txt;7171;11;12;6
particularmente;Dificil;Video-02-Ingenieria en sistemas.txt;5254;15;9;1
usualmente;Dificil;Video-02-Ingenieria en sistemas.txt;10488;10;16;3
orgánica;Dificil;Video-02-Ingenieria en sistemas.txt;10244;8;16;4
localización;Dificil;Video-02-Ingenieria en sistemas.txt;10055;12;15;3
probabilidad;Dificil;Video-02-Ingenieria en sistemas.txt;8430;12;13;3
orden;Dificil;Video-02-Ingenieria en sistemas.txt;8106;5;13;3
coordinador;Dificil;Video-02-Ingenieria en sistemas.txt;7893;11;12;3
genoma de investigación;Dificil;Video-02-Ingenieria en sistemas.txt;1783;23;3;2
culminaciones;Dificil;Video-02-Ingenieria en sistemas.txt;5140;13;9;3
resulta;Dificil;Video-02-Ingenieria en sistemas.txt;980;7;2;1
repositorio de archivos;Dificil;Video-02-Ingenieria en sistemas.txt;5488;23;9;1
excelente buenísima;Dificil;Video-02-Ingenieria en sistemas.txt;1717;19;3;3
contribuyo;Dificil;Video-02-Ingenieria en sistemas.txt;4129;10;7;1
esta;Dificil;Video-02-Ingenieria en sistemas.txt;4248;4;7;1
subscriba;Dificil;Video-02-Ingenieria en sistemas.txt;5386;9;9;3
financiamiento internacional;Dificil;Video-02-Ingenieria en sistemas.txt;2060;28;3;2
repositorios de tesis;Dificil;Video-02-Ingenieria en sistemas.txt;1541;21;3;1
datos comestibles;Dificil;Video-02-Ingenieria en sistemas.txt;8036;17;13;1
acotar;Dificil;Video-02-Ingenieria en sistemas.txt;8545;6;14;3
comestibles;Dificil;Video-02-Ingenieria en sistemas.txt;8042;11;13;2
búsqueda;Dificil;Video-02-Ingenieria en sistemas.txt;9537;8;15;2
guayaquil;Dificil;Video-02-Ingenieria en sistemas.txt;86;9;1;3
imprima;Dificil;Video-02-Ingenieria en sistemas.txt;528;7;2;2
página web;Dificil;Video-02-Ingenieria en sistemas.txt;149;10;1;1
etapas;Dificil;Video-02-Ingenieria en sistemas.txt;2213;6;4;1
biblioteca;Dificil;Video-02-Ingenieria en sistemas.txt;2909;10;5;2
título;Dificil;Video-02-Ingenieria en sistemas.txt;9956;6;15;1
alemán;Dificil;Video-02-Ingenieria en sistemas.txt;8353;6;13;1
tecnología;Dificil;Video-02-Ingenieria en sistemas.txt;3399;10;6;1
cronológicamente;Dificil;Video-02-Ingenieria en sistemas.txt;4037;16;7;1
virtuales;Dificil;Video-02-Ingenieria en sistemas.txt;334;9;1;1
video;Dificil;Video-02-Ingenieria en sistemas.txt;0;5;0;1
repositorio de tesis;Dificil;Video-02-Ingenieria en sistemas.txt;1229;20;2;1
ofertas de vestiduras;Dificil;Video-02-Ingenieria en sistemas.txt;1910;21;3;2
autónomo;Dificil;Video-02-Ingenieria en sistemas.txt;6281;8;10;1
llevaría;Dificil;Video-02-Ingenieria en sistemas.txt;367;8;1;1
mundo;Dificil;Video-02-Ingenieria en sistemas.txt;6413;5;10;1
electrónicos;Dificil;Video-02-Ingenieria en sistemas.txt;6890;12;11;1
campos;Dificil;Video-02-Ingenieria en sistemas.txt;9651;6;15;1
palabras;Dificil;Video-02-Ingenieria en sistemas.txt;10301;8;16;1
no;Dificil;Video-02-Ingenieria en sistemas.txt;1464;2;2;1
certificado de tiempo;Dificil;Video-02-Ingenieria en sistemas.txt;539;21;2;1
otra cosas importante;Dificil;Video-02-Ingenieria en sistemas.txt;6483;21;11;1

