Palabra;TipoPalabra;TextoOrigen;Posicion;Largo;SaltoLinea;Aparicion
algoritmo;Dificil;Video-48-Licenciatura en Sistemas de Información.txt;1507;9;5;4
ciclo;Dificil;Video-48-Licenciatura en Sistemas de Información.txt;1989;5;5;2
acotación;Dificil;Video-48-Licenciatura en Sistemas de Información.txt;2058;9;7;11
vano;Dificil;Video-48-Licenciatura en Sistemas de Información.txt;2612;4;7;1
suponer;Dificil;Video-48-Licenciatura en Sistemas de Información.txt;2677;7;9;1
residuo;Dificil;Video-48-Licenciatura en Sistemas de Información.txt;3547;7;9;1
acá;Dificil;Video-48-Licenciatura en Sistemas de Información.txt;1766;3;5;1
me fui para acá no me alcanzo;Dificil;Video-48-Licenciatura en Sistemas de Información.txt;1727;29;5;1
lógica;Dificil;Video-48-Licenciatura en Sistemas de Información.txt;408;6;1;1
índice actual;Dificil;Video-48-Licenciatura en Sistemas de Información.txt;2737;16;9;1

