Palabra;TipoPalabra;TextoOrigen;Posicion;Largo;SaltoLinea;Aparicion
desviaciones;Dificil;Video-13-Economia.txt;1559;12;15;1
operativa;Dificil;Video-13-Economia.txt;1988;9;16;1
presupuestaria;Dificil;Video-13-Economia.txt;2533;14;20;1
democrático;Dificil;Video-13-Economia.txt;3727;11;27;2
susceptibles;Dificil;Video-13-Economia.txt;4537;12;33;1
subordinados;Dificil;Video-13-Economia.txt;998;12;11;1
deficiente;Dificil;Video-13-Economia.txt;2202;10;20;1
armonizando;Dificil;Video-13-Economia.txt;3306;11;26;1
imposición;Dificil;Video-13-Economia.txt;3760;10;27;1

