cuentas  especiales;Dificil;Video-16-Contaduria Publica Autorizada.txt;802;19;9;1
registros  sociales;Dificil;Video-16-Contaduria Publica Autorizada.txt;835;19;9;1
carácter financiero;Dificil;Video-16-Contaduria Publica Autorizada.txt;1742;20;14;1
comprobatoria;Dificil;Video-16-Contaduria Publica Autorizada.txt;975;13;9;1
relativa;Dificil;Video-16-Contaduria Publica Autorizada.txt;1377;8;13;2
morosidad;Dificil;Video-16-Contaduria Publica Autorizada.txt;2418;9;19;2
demandante;Dificil;Video-16-Contaduria Publica Autorizada.txt;2672;10;19;1
oferente;Dificil;Video-16-Contaduria Publica Autorizada.txt;2685;8;19;3
otorgamiento;Dificil;Video-16-Contaduria Publica Autorizada.txt;2879;12;19;1
tradicional;Dificil;Video-16-Contaduria Publica Autorizada.txt;5150;11;36;1
apreciar;Dificil;Video-16-Contaduria Publica Autorizada.txt;5447;8;48;1
fiscal;Dificil;Video-16-Contaduria Publica Autorizada.txt;615;6;9;1
importes;Dificil;Video-16-Contaduria Publica Autorizada.txt;3455;8;24;1
monetarios;Dificil;Video-16-Contaduria Publica Autorizada.txt;3464;10;24;1
operación;Dificil;Video-16-Contaduria Publica Autorizada.txt;5343;9;43;1
análisis;Dificil;Video-16-Contaduria Publica Autorizada.txt;4157;8;29;1

