crisol;Dificil;Video-22-Ingenieria Civil.txt;1363;6;11;2
volframio;Dificil;Video-22-Ingenieria Civil.txt;2094;9;23;2
fluoración;Dificil;Video-22-Ingenieria Civil.txt;4299;10;34;3
dbo5;Dificil;Video-22-Ingenieria Civil.txt;7035;4;49;1
arrabio;Dificil;Video-22-Ingenieria Civil.txt;828;7;11;5
ceolita;Dificil;Video-22-Ingenieria Civil.txt;4078;7;34;4
diques;Dificil;Video-22-Ingenieria Civil.txt;6527;6;46;1
silos;Dificil;Video-22-Ingenieria Civil.txt;6631;5;46;2
fluidos;Dificil;Video-22-Ingenieria Civil.txt;199;7;7;1
blaise;Dificil;Video-22-Ingenieria Civil.txt;641;6;8;1
henry bessemer;Dificil;Video-22-Ingenieria Civil.txt;1117;14;11;1
molido;Dificil;Video-22-Ingenieria Civil.txt;2592;6;28;1
levitación;Dificil;Video-22-Ingenieria Civil.txt;5856;10;42;3
estipulados;Dificil;Video-22-Ingenieria Civil.txt;6787;11;46;1
vanadio;Dificil;Video-22-Ingenieria Civil.txt;1874;7;21;1
molibdeno;Dificil;Video-22-Ingenieria Civil.txt;1884;9;21;1
floculación;Dificil;Video-22-Ingenieria Civil.txt;2603;11;28;1
depuración;Dificil;Video-22-Ingenieria Civil.txt;3550;10;32;1
traza;Dificil;Video-22-Ingenieria Civil.txt;7300;5;50;1

